airline,price_brl,price_label,departure,arrival
"Azul","330.88","R$ 330,88","06:00","11:59"
"Azul","330.88","R$ 330,88","06:40","10:40"
"Azul","744.9","R$ 744,90","06:40","10:40"
"Azul","770.87","R$ 770,87","06:40","10:40"
"Azul","1050.28","R$ 1.050,28","06:40","10:40"
"Azul","1058.31","R$ 1.058,31","06:40","10:40"
"Azul","1068.98","R$ 1.068,98","06:40","10:40"
"Azul","1157.79","R$ 1.157,79","06:40","10:40"
"Azul","1179.81","R$ 1.179,81","06:40","10:40"
"Azul","1263.9","R$ 1.263,90","06:40","10:40"
